shi_cd,shi_nm,season,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api,n_ea,n_esa
8,Micro bacia do Canal dos Bancários,Verao,10,I_10h,12.140000,1.020000,7.406400,1.190000,0.000000,0.010204,0.000000,1.000000,0.928571,0.107843,0.090909,0.010204,0.500000,0.909091,0.826531,0.109890,3,3.968163,-0.270526,2.148299,0.727273,0.234694,0.258065,11,98
8,Micro bacia do Canal dos Bancários,Verao,12,I_12h,10.116667,0.850000,6.172000,0.991667,0.000000,0.010204,0.000000,1.000000,0.948980,0.105769,0.090909,0.010204,0.500000,0.909091,0.836735,0.108696,3,3.306803,-0.270526,1.858277,0.727273,0.234694,0.258065,11,98
8,Micro bacia do Canal dos Bancários,Verao,24,I_24h,5.058333,0.550000,4.015667,0.558333,0.000000,0.010753,0.000000,1.000000,0.806452,0.127907,0.090909,0.010753,0.500000,0.909091,0.806452,0.117647,10,10.195408,-0.166316,0.925926,0.727273,0.252747,0.258065,11,93
8,Micro bacia do Canal dos Bancários,Outono,1/6,I_15min,88.000000,13.600000,72.600000,13.760000,0.000000,0.012821,0.000000,1.000000,0.641026,0.056604,0.000000,0.012821,0.000000,0.666667,0.602564,0.040816,3,35.660408,-0.843684,33.200000,0.333333,0.106667,0.111111,3,78
8,Micro bacia do Canal dos Bancários,Outono,1/2,I_30min,78.400000,9.200000,62.076000,9.600000,0.000000,0.012821,0.000000,1.000000,0.705128,0.051724,0.000000,0.012821,0.000000,0.666667,0.692308,0.035714,1,11.204082,-0.010000,27.000000,0.333333,0.064103,0.166667,3,78
8,Micro bacia do Canal dos Bancários,Outono,1,I_1h,49.800000,8.600000,49.492000,8.940000,0.000000,0.012821,0.000000,1.000000,0.576923,0.062500,0.000000,0.012821,0.000000,0.666667,0.564103,0.043478,1,6.783673,-0.010000,21.400000,0.333333,0.051282,0.200000,3,78
8,Micro bacia do Canal dos Bancários,Outono,2,I_2h,43.900000,4.500000,40.820000,5.140000,0.000000,0.012821,0.000000,1.000000,0.692308,0.052632,0.000000,0.012821,0.000000,0.666667,0.602564,0.040816,3,8.262857,-0.478947,10.571429,0.666667,0.066667,0.285714,3,78
8,Micro bacia do Canal dos Bancários,Outono,3,I_3h,39.866667,3.066667,34.528000,3.800000,0.000000,0.012821,0.000000,1.000000,0.756410,0.048387,0.000000,0.012821,0.000000,0.666667,0.615385,0.040000,3,5.056327,-0.739474,10.228571,0.666667,0.053333,0.333333,3,78
8,Micro bacia do Canal dos Bancários,Outono,6,I_6h,26.066667,2.200000,19.342000,2.666667,0.000000,0.012821,0.000000,1.000000,0.628205,0.057692,0.000000,0.012821,0.000000,0.666667,0.474359,0.051282,3,2.273197,-1.000000,5.940136,0.666667,0.066667,0.285714,3,78
8,Micro bacia do Canal dos Bancários,Outono,8,I_8h,19.725000,1.725000,15.066500,2.067500,0.000000,0.012821,0.000000,1.000000,0.602564,0.060000,0.000000,0.012821,0.000000,0.666667,0.500000,0.048780,3,1.911531,-1.000000,4.484184,0.666667,0.066667,0.285714,3,78
8,Micro bacia do Canal dos Bancários,Outono,10,I_10h,15.780000,1.440000,13.162000,1.708000,0.000000,0.012821,0.000000,1.000000,0.602564,0.060000,0.000000,0.012821,0.000000,0.666667,0.461538,0.052632,3,1.650449,-1.000000,3.591837,0.666667,0.066667,0.285714,3,78
8,Micro bacia do Canal dos Bancários,Outono,12,I_12h,13.150000,1.283333,11.597167,1.498333,0.000000,0.012821,0.000000,1.000000,0.589744,0.061224,0.000000,0.012821,0.000000,0.666667,0.423077,0.057143,3,1.088503,-1.000000,3.047279,0.666667,0.080000,0.250000,3,78
8,Micro bacia do Canal dos Bancários,Outono,24,I_24h,6.575000,0.683333,5.865667,0.786667,0.000000,0.012987,0.000000,1.000000,0.623377,0.058824,0.000000,0.012987,0.000000,0.666667,0.467532,0.052632,2,0.879014,-0.010000,2.697704,0.333333,0.040000,0.250000,3,77
8,Micro bacia do Canal dos Bancários,Inverno,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,1,37
8,Micro bacia do Canal dos Bancários,Inverno,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,1,37
