time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
3,I_3h,4,5.056327,-0.739474,10.228571,1.000000,0.090909,0.333333,0.303030,0.666667,0.066667,0.285714,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,5,5.859592,-0.531053,10.228571,1.000000,0.136364,0.250000,0.215909,0.666667,0.093333,0.222222,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,6,3.449796,-1.000000,10.228571,1.000000,0.162791,0.222222,0.186047,0.666667,0.108108,0.200000,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,7,3.449796,-1.000000,10.228571,1.000000,0.162791,0.222222,0.186047,0.666667,0.108108,0.200000,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,8,2.646531,-1.000000,10.228571,1.000000,0.186047,0.200000,0.162791,0.666667,0.121622,0.181818,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,9,2.646531,-1.000000,10.228571,1.000000,0.186047,0.200000,0.162791,0.666667,0.121622,0.181818,8,Micro bacia do Canal dos Bancários,Outono
3,I_3h,10,2.646531,-1.000000,10.228571,1.000000,0.186047,0.200000,0.162791,0.666667,0.121622,0.181818,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,1,0.686667,-1.000000,5.940136,1.000000,0.194444,0.222222,0.179012,0.666667,0.102564,0.200000,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,2,0.686667,-1.000000,5.940136,1.000000,0.176471,0.250000,0.205882,0.666667,0.092105,0.222222,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,3,2.273197,-1.000000,5.940136,1.000000,0.117647,0.333333,0.294118,0.666667,0.066667,0.285714,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,4,0.686667,-1.000000,6.582313,1.000000,0.147059,0.285714,0.243697,0.666667,0.080000,0.250000,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,5,0.686667,-1.000000,6.582313,1.000000,0.176471,0.250000,0.205882,0.666667,0.093333,0.222222,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,6,0.686667,-1.000000,6.582313,1.000000,0.181818,0.250000,0.204545,0.666667,0.094595,0.222222,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,7,0.686667,-1.000000,6.582313,1.000000,0.181818,0.250000,0.204545,0.666667,0.094595,0.222222,8,Micro bacia do Canal dos Bancários,Outono
6,I_6h,8,0.686667,-1.000000,6.582313,1.000000,0.181818,0.250000,0.204545,0.666667,0.094595,0.222222,8,Micro bacia do Canal dos Bancários,Outono
