duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.25,6.4,22,22_1457125200,2016-03-04 21:00:00,2016-03-04 21:15:00,ESA
0.25,14.4,22,22_1458144900,2016-03-16 16:15:00,2016-03-16 18:00:00,ESA
0.5,12.4,22,22_1458144900,2016-03-16 16:15:00,2016-03-16 18:00:00,ESA
1.0,11.600000000000001,22,22_1458144900,2016-03-16 16:15:00,2016-03-16 18:00:00,ESA
0.25,40.0,22,22_1458237600,2016-03-17 18:00:00,2016-03-17 18:30:00,ESA
0.5,28.0,22,22_1458237600,2016-03-17 18:00:00,2016-03-17 18:30:00,ESA
0.25,6.4,22,22_1458768600,2016-03-23 21:30:00,2016-03-23 23:15:00,ESA
0.5,5.6,22,22_1458768600,2016-03-23 21:30:00,2016-03-23 23:15:00,ESA
1.0,5.6,22,22_1458768600,2016-03-23 21:30:00,2016-03-23 23:15:00,ESA
0.25,4.0,22,22_1461951900,2016-04-29 17:45:00,2016-04-29 18:00:00,ESA
0.25,4.8,22,22_1461958200,2016-04-29 19:30:00,2016-04-29 20:15:00,ESA
0.5,4.4,22,22_1461958200,2016-04-29 19:30:00,2016-04-29 20:15:00,ESA
0.25,11.2,22,22_1463099400,2016-05-13 00:30:00,2016-05-13 00:45:00,ESA
0.25,17.6,22,22_1463590800,2016-05-18 17:00:00,2016-05-18 17:45:00,ESA
0.5,15.600000000000001,22,22_1463590800,2016-05-18 17:00:00,2016-05-18 17:45:00,ESA
0.25,4.8,22,22_1463598900,2016-05-18 19:15:00,2016-05-18 19:30:00,ESA
0.25,8.0,22,22_1464857100,2016-06-02 08:45:00,2016-06-02 09:00:00,ESA
0.25,24.8,22,22_1465092000,2016-06-05 02:00:00,2016-06-05 03:00:00,ESA
0.5,16.0,22,22_1465092000,2016-06-05 02:00:00,2016-06-05 03:00:00,ESA
1.0,10.8,22,22_1465092000,2016-06-05 02:00:00,2016-06-05 03:00:00,ESA
0.25,8.8,22,22_1465099200,2016-06-05 04:00:00,2016-06-05 04:30:00,ESA
0.5,8.4,22,22_1465099200,2016-06-05 04:00:00,2016-06-05 04:30:00,ESA
0.25,6.4,22,22_1465108200,2016-06-05 06:30:00,2016-06-05 06:45:00,ESA
0.25,4.0,22,22_1465191000,2016-06-06 05:30:00,2016-06-06 05:45:00,ESA
0.25,12.8,22,22_1465266600,2016-06-07 02:30:00,2016-06-07 04:00:00,ESA
0.5,8.4,22,22_1465266600,2016-06-07 02:30:00,2016-06-07 04:00:00,ESA
1.0,6.0,22,22_1465266600,2016-06-07 02:30:00,2016-06-07 04:00:00,ESA
0.25,8.0,22,22_1465277400,2016-06-07 05:30:00,2016-06-07 07:15:00,ESA
0.5,8.0,22,22_1465277400,2016-06-07 05:30:00,2016-06-07 07:15:00,ESA
1.0,7.0,22,22_1465277400,2016-06-07 05:30:00,2016-06-07 07:15:00,ESA
0.25,4.0,22,22_1465337700,2016-06-07 22:15:00,2016-06-07 22:30:00,ESA
0.25,4.0,22,22_1470219300,2016-08-03 10:15:00,2016-08-03 10:30:00,ESA
0.25,12.0,22,22_1471758300,2016-08-21 05:45:00,2016-08-21 07:30:00,ESA
0.5,9.2,22,22_1471758300,2016-08-21 05:45:00,2016-08-21 07:30:00,ESA
1.0,6.0,22,22_1471758300,2016-08-21 05:45:00,2016-08-21 07:30:00,ESA
0.25,4.0,22,22_1471770000,2016-08-21 09:00:00,2016-08-21 09:15:00,ESA
0.25,12.0,22,22_1471842900,2016-08-22 05:15:00,2016-08-22 06:00:00,ESA
0.5,8.8,22,22_1471842900,2016-08-22 05:15:00,2016-08-22 06:00:00,ESA
0.25,4.8,22,22_1471857300,2016-08-22 09:15:00,2016-08-22 09:30:00,ESA
0.25,48.0,22,22_1472678100,2016-08-31 21:15:00,2016-08-31 23:00:00,ESA
0.5,24.8,22,22_1472678100,2016-08-31 21:15:00,2016-08-31 23:00:00,ESA
1.0,14.0,22,22_1472678100,2016-08-31 21:15:00,2016-08-31 23:00:00,ESA
0.25,4.8,22,22_1473282900,2016-09-07 21:15:00,2016-09-07 21:30:00,ESA
0.25,4.8,22,22_1474232400,2016-09-18 21:00:00,2016-09-18 21:15:00,ESA
0.25,7.2,22,22_1474330500,2016-09-20 00:15:00,2016-09-20 00:30:00,ESA
0.25,4.8,22,22_1474378200,2016-09-20 13:30:00,2016-09-20 13:45:00,ESA
0.25,4.8,22,22_1474865100,2016-09-26 04:45:00,2016-09-26 05:00:00,ESA
0.25,4.8,22,22_1475219700,2016-09-30 07:15:00,2016-09-30 07:30:00,ESA
0.25,10.4,22,22_1475541000,2016-10-04 00:30:00,2016-10-04 02:15:00,ESA
0.5,7.6,22,22_1475541000,2016-10-04 00:30:00,2016-10-04 02:15:00,ESA
1.0,6.0,22,22_1475541000,2016-10-04 00:30:00,2016-10-04 02:15:00,ESA
0.25,4.0,22,22_1475559900,2016-10-04 05:45:00,2016-10-04 06:00:00,ESA
0.25,6.4,22,22_1476224100,2016-10-11 22:15:00,2016-10-11 22:45:00,ESA
0.5,6.0,22,22_1476224100,2016-10-11 22:15:00,2016-10-11 22:45:00,ESA
0.25,6.4,22,22_1477080000,2016-10-21 20:00:00,2016-10-21 20:30:00,ESA
0.5,6.0,22,22_1477080000,2016-10-21 20:00:00,2016-10-21 20:30:00,ESA
0.25,14.4,22,22_1477593900,2016-10-27 18:45:00,2016-10-27 19:00:00,ESA
0.25,4.0,22,22_1478214000,2016-11-03 23:00:00,2016-11-03 23:15:00,ESA
0.25,12.8,22,22_1478219400,2016-11-04 00:30:00,2016-11-04 02:30:00,ESA
0.5,11.600000000000001,22,22_1478219400,2016-11-04 00:30:00,2016-11-04 02:30:00,ESA
1.0,9.0,22,22_1478219400,2016-11-04 00:30:00,2016-11-04 02:30:00,ESA
2.0,7.2,22,22_1478219400,2016-11-04 00:30:00,2016-11-04 02:30:00,ESA
0.25,4.0,22,22_1478271600,2016-11-04 15:00:00,2016-11-04 15:15:00,ESA
0.25,4.0,22,22_1478297700,2016-11-04 22:15:00,2016-11-04 22:30:00,ESA
0.25,4.8,22,22_1478304000,2016-11-05 00:00:00,2016-11-05 00:15:00,ESA
0.25,12.0,22,22_1478373300,2016-11-05 19:15:00,2016-11-05 20:30:00,ESA
0.5,11.2,22,22_1478373300,2016-11-05 19:15:00,2016-11-05 20:30:00,ESA
