id_evento,data_inicio,id_estacao
51886,2020-03-01 13:26:29+00:00,4
51840,2020-03-01 09:51:59+00:00,5
51887,2020-03-01 13:27:11+00:00,5
51845,2020-03-01 09:54:04+00:00,16
51844,2020-03-01 09:53:32+00:00,7
51859,2020-03-01 11:07:17+00:00,6
51921,2020-03-01 22:35:44+00:00,6
51856,2020-03-01 11:03:57+00:00,6
51800,2020-03-01 07:34:13+00:00,6
51849,2020-03-01 10:56:33+00:00,16
51841,2020-03-01 09:52:25+00:00,16
51883,2020-03-01 13:22:16+00:00,16
51805,2020-03-01 07:41:33+00:00,16
51817,2020-03-01 07:57:17+00:00,16
51839,2020-03-01 09:51:18+00:00,16
51803,2020-03-01 07:40:15+00:00,16
51864,2020-03-01 12:15:22+00:00,16
51825,2020-03-01 08:30:31+00:00,13
51878,2020-03-01 12:27:11+00:00,8
51882,2020-03-01 13:21:29+00:00,8
51922,2020-03-02 06:05:48+00:00,10
51765,2020-03-01 01:44:37+00:00,10
51850,2020-03-01 10:57:04+00:00,8
51918,2020-03-01 21:48:34+00:00,6
51873,2020-03-01 12:22:04+00:00,8
51771,2020-03-01 02:53:27+00:00,7
51831,2020-03-01 08:47:53+00:00,13
51804,2020-03-01 07:40:53+00:00,13
51769,2020-03-01 02:45:50+00:00,7
99995,2023-07-28 23:09:06+00:00,21
99994,2023-07-28 23:05:53+00:00,18
100001,2023-07-29 00:13:30+00:00,18
9203,2016-08-21 08:42:58+00:00,21
23280,2018-01-02 19:09:20+00:00,16
23283,2018-01-02 19:21:13+00:00,21
23279,2018-01-02 19:05:01+00:00,21
23276,2018-01-02 18:46:41+00:00,21
23278,2018-01-02 18:58:48+00:00,21
23291,2018-01-02 20:58:59+00:00,16
23277,2018-01-02 18:52:12+00:00,7
23367,2018-01-04 09:54:29+00:00,16
23358,2018-01-04 07:47:20+00:00,16
23371,2018-01-04 11:12:52+00:00,8
23356,2018-01-04 07:13:41+00:00,27
23354,2018-01-04 06:56:21+00:00,15
23353,2018-01-04 06:53:38+00:00,29
23351,2018-01-04 05:15:46+00:00,24
23445,2018-01-07 10:20:55+00:00,5
23460,2018-01-07 21:08:36+00:00,10
23463,2018-01-07 22:08:16+00:00,12
23462,2018-01-07 21:45:39+00:00,11
23458,2018-01-07 20:51:05+00:00,10
23446,2018-01-07 11:40:16+00:00,7
23438,2018-01-07 07:48:43+00:00,13
23465,2018-01-07 22:24:48+00:00,11
23457,2018-01-07 20:40:58+00:00,21
23456,2018-01-07 20:21:43+00:00,4
23441,2018-01-07 08:56:14+00:00,21
23440,2018-01-07 08:26:46+00:00,1
23484,2018-01-08 06:15:41+00:00,12
23535,2018-01-08 21:03:56+00:00,24
23494,2018-01-08 07:25:52+00:00,31
23534,2018-01-08 20:59:34+00:00,16
23477,2018-01-08 05:20:38+00:00,12
23530,2018-01-08 20:38:30+00:00,24
