id_estacao,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api
19,10,I_10h,18.460000,2.300000,10.924000,2.306000,0.000000,0.003086,0.000000,1.000000,0.367284,0.032520,0.000000,0.012346,0.000000,0.750000,0.358025,0.025210,1,3.739224,-0.010000,4.885714,0.250000,0.018519,0.142857
19,12,I_12h,15.383333,1.916667,9.103333,1.921667,0.000000,0.003086,0.000000,1.000000,0.385802,0.031008,0.000000,0.012346,0.000000,0.750000,0.376543,0.024000,1,2.782245,-0.010000,4.650000,0.250000,0.018519,0.142857
19,24,I_24h,7.691667,0.975000,4.641667,0.978750,0.000000,0.003215,0.000000,1.000000,0.427653,0.029197,0.250000,0.012862,0.200000,0.750000,0.421222,0.022388,1,4.793878,-0.062105,0.120408,0.500000,0.057878,0.100000
20,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,
20,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,
20,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,
20,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,
20,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,
20,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,
20,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,
20,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,
20,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,
20,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,
21,1/6,I_15min,166.400000,13.600000,97.312000,15.280000,0.000000,0.002985,0.000000,1.000000,0.573134,0.040000,0.000000,0.011940,0.000000,0.875000,0.498507,0.040230,5,216.000000,-0.166316,27.785423,0.625000,0.094225,0.138889
21,1/2,I_30min,133.200000,9.200000,74.400000,9.620000,0.000000,0.002985,0.000000,1.000000,0.629851,0.036530,0.000000,0.014925,0.000000,0.875000,0.585075,0.034483,5,112.726531,-0.114211,21.026239,0.625000,0.079027,0.161290
21,1,I_1h,99.800000,6.200000,55.380000,6.410000,0.000000,0.002985,0.000000,1.000000,0.647761,0.035556,0.000000,0.011940,0.000000,0.875000,0.620896,0.032558,7,58.802449,-0.062105,24.200000,0.375000,0.037037,0.200000
21,2,I_2h,53.500000,3.700000,29.058000,3.875000,0.000000,0.002985,0.000000,1.000000,0.797015,0.029091,0.125000,0.011940,0.200000,0.875000,0.743284,0.027344,8,7.642041,-0.010000,12.423129,0.500000,0.064815,0.160000
21,3,I_3h,41.000000,2.466667,22.702667,3.166667,0.000000,0.002985,0.000000,1.000000,0.877612,0.026490,0.125000,0.011940,0.200000,0.875000,0.734328,0.027668,8,4.768435,-0.010000,9.306122,0.500000,0.074074,0.142857
21,6,I_6h,22.433333,1.433333,13.926667,1.760000,0.000000,0.002985,0.000000,1.000000,0.901493,0.025806,0.125000,0.011940,0.200000,0.875000,0.811940,0.025090,10,6.222313,-0.010000,4.750794,0.375000,0.043210,0.176471
21,8,I_8h,16.825000,1.250000,10.997000,1.433750,0.125000,0.002985,0.500000,1.000000,0.889552,0.026144,0.125000,0.011940,0.200000,0.875000,0.773134,0.026316,10,3.466888,-0.010000,4.375510,0.375000,0.046296,0.166667
21,10,I_10h,13.460000,1.000000,9.759200,1.147000,0.125000,0.002985,0.500000,1.000000,0.907463,0.025641,0.125000,0.011940,0.200000,0.875000,0.805970,0.025271,3,3.256735,-0.531053,2.385850,0.750000,0.209726,0.080000
21,12,I_12h,11.283333,0.833333,8.375667,0.955833,0.125000,0.002985,0.500000,1.000000,0.925373,0.025157,0.125000,0.011940,0.200000,0.875000,0.820896,0.024823,3,2.713946,-0.531053,1.990023,0.750000,0.209726,0.080000
21,24,I_24h,7.583333,0.416667,4.388833,0.515833,0.125000,0.003096,0.500000,1.000000,0.996904,0.024242,0.125000,0.012384,0.200000,0.875000,0.835913,0.025271,3,1.246939,-0.635263,1.016780,0.750000,0.264984,0.066667
